"id","house","street","area","zip_code","city","country","created_at","updated_at"
1,House 1,Street 1,Area 1,"12345",City 1,Country 1,"2024-08-26 10:17:30","2024-08-26 10:17:30"
2,House 2,Street 2,Area 2,"23456",City 2,Country 2,"2024-08-26 10:17:30","2024-08-26 10:17:30"
3,House 3,Street 3,Area 3,"34567",City 3,Country 3,"2024-08-26 10:17:30","2024-08-26 10:17:30"
1,USD,US Dollar,$,"2024-08-23 16:54:31","2024-08-23 16:54:31"
2,PKR,Pakistani Rupee,Rs,"2024-08-23 16:54:31","2024-08-23 16:54:31"
3,EUR,EURO,€,"2024-08-23 16:54:31","2024-08-23 16:54:31"
"1",valeena,db/changelog/db.changelog-status.yaml,"2024-08-23 16:54:12",1,EXECUTED,"9:6dce355db891b4de6ff8f3b1b16cf9b7",createTable tableName=order_status; createTable tableName=idea_status; createTable tableName=currency,"",,"4.27.0",,,"4414050870"
"2",valeena,db/changelog/db.changelog-user-management.yaml,"2024-08-23 16:54:14",2,EXECUTED,"9:64e69302f0b947fa015c403869a4b3e9",createTable tableName=role; createTable tableName=user; createTable tableName=user_profile; createTable tableName=address,"",,"4.27.0",,,"4414050870"
"3",valeena,db/changelog/db.changelog-idea-recipe.yaml,"2024-08-23 16:54:16",3,EXECUTED,"9:13388652edcf8c10e59363cfc6f44d52",createTable tableName=idea; createTable tableName=interest; createTable tableName=dietary_restriction; createTable tableName=recipe; createTable tableName=recipe_image,"",,"4.27.0",,,"4414050870"
"4",valeena,db/changelog/db.changelog-order.yaml,"2024-08-23 16:54:17",4,EXECUTED,"9:7ea54a9d354de5d907ea95f86084c03b",createTable tableName=order; createTable tableName=order_item,"",,"4.27.0",,,"4414050870"
"5",valeena,db/changelog/db.changelog-foreign_keys.yaml,"2024-08-23 16:54:31",5,EXECUTED,"9:99d317f9b80fb198e2d98c5e88235da8","addForeignKeyConstraint baseTableName=order, constraintName=fk_order_user_id, referencedTableName=user; addForeignKeyConstraint baseTableName=order, constraintName=fk_order_status_id, referencedTableName=order_status; addForeignKeyConstraint baseT...","",,"4.27.0",,,"4414050870"
"6",valeena,db/changelog/db.changelog-insert-order.yaml,"2024-08-23 16:54:31",6,EXECUTED,"9:bfddc57ddac52ef295970cb83b2325e3",insert tableName=order_status; insert tableName=order_status; insert tableName=order_status; insert tableName=currency,"",,"4.27.0",,,"4414050870"
"7",valeena,db/changelog/db.changelog-insert-idea-status.yaml,"2024-08-23 16:54:31",7,EXECUTED,"9:24fd9e6a63ebd3faeb3492f59de24613",insert tableName=idea_status; insert tableName=idea_status,"",,"4.27.0",,,"4414050870"
"8",valeena,db/changelog/db.changelog-role.yaml,"2024-08-23 16:54:31",8,EXECUTED,"9:f815113905b8360d2840bf7bac960075",insert tableName=role,"",,"4.27.0",,,"4414050870"
1,0,,
1,Nut-Free,1,"2024-08-26 10:46:22","2024-08-26 10:46:22"
2,Vegan,2,"2024-08-26 10:46:22","2024-08-26 10:46:22"
3,Gluten-Free,3,"2024-08-26 10:46:22","2024-08-26 10:46:22"
1,Healthy Salad,A nutritious and healthy salad recipe.,IDEA001,1,1,"2024-08-26 10:45:16","2024-08-26 10:45:16"
2,Vegan Burger,A tasty vegan burger recipe.,IDEA002,1,2,"2024-08-26 10:45:16","2024-08-26 10:45:16"
3,Gluten-Free Pasta,A delicious gluten-free pasta recipe.,IDEA003,1,3,"2024-08-26 10:45:16","2024-08-26 10:45:16"
1,DRAFT,Draft,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
2,SUBMITTED,Submitted,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
1,High Protein,1,"2024-08-26 10:45:41","2024-08-26 10:45:41"
2,Low Carb,2,"2024-08-26 10:45:41","2024-08-26 10:45:41"
3,Dairy-Free,3,"2024-08-26 10:45:41","2024-08-26 10:45:41"
1,1000,ORD001,1,1,"2024-08-26 10:48:32","2024-08-26 10:48:32"
2,2000,ORD002,2,2,"2024-08-26 10:48:32","2024-08-26 10:48:32"
3,3000,ORD003,3,3,"2024-08-26 10:48:32","2024-08-26 10:48:32"
1,2,1,1,500,"2024-08-26 10:49:47","2024-08-26 10:49:47"
2,1,2,2,2000,"2024-08-26 10:49:47","2024-08-26 10:49:47"
3,3,3,3,1500,"2024-08-26 10:49:47","2024-08-26 10:49:47"
1,PLACED,Placed,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
2,INPROCESS,Inprocess,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
3,DISPATCHED,Dispatched,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
1,Quinoa Salad,A healthy quinoa salad with vegetables.,2,1500,REC001,1,1,"2024-08-26 10:47:34","2024-08-26 10:47:34"
2,Tofu Burger,A delicious tofu burger with vegan sauce.,1,1800,REC002,2,2,"2024-08-26 10:47:34","2024-08-26 10:47:34"
3,Zucchini Noodles,Gluten-free zucchini noodles with pesto sauce.,2,2000,REC003,3,3,"2024-08-26 10:47:34","2024-08-26 10:47:34"
1,https://example.com/images/quinoa_salad.jpg,1,"2024-08-26 10:47:59","2024-08-26 10:47:59"
2,https://example.com/images/tofu_burger.jpg,2,"2024-08-26 10:47:59","2024-08-26 10:47:59"
3,https://example.com/images/zucchini_noodles.jpg,3,"2024-08-26 10:47:59","2024-08-26 10:47:59"
1,CUSTOMER,sample description,1,"2024-08-23 16:54:31","2024-08-23 16:54:31"
1,johndoe,john.doe@example.com,0,1,"2024-08-26 10:34:55","2024-08-26 10:34:55"
2,janedoe,jane.doe@example.com,0,1,"2024-08-26 10:34:55","2024-08-26 10:34:55"
3,guestuser,guest@example.com,0,1,"2024-08-26 10:34:55","2024-08-26 10:34:55"
1,John,Doe,+1234567890,1,1,1,"2024-08-26 10:43:20","2024-08-26 10:43:20"
2,Jane,Doe,+0987654321,2,2,2,"2024-08-26 10:43:20","2024-08-26 10:43:20"
3,Guest,User,+1122334455,3,3,3,"2024-08-26 10:43:20","2024-08-26 10:43:20"
